Linux 6.6.8-swap-profiling (amd3) 	12/10/24 	_x86_64_	(128 CPU)

08:14:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:17:54        all      0.19      0.00      2.41     75.00      0.00     22.40
08:17:55        all      0.06      0.00      1.88     76.46      0.00     21.59
08:17:56        all      0.05      0.00      2.45     75.94      0.00     21.56
08:17:57        all      0.11      0.00      2.24     75.43      0.00     22.22
08:17:58        all      0.13      0.00      2.16     76.04      0.00     21.67
08:17:59        all      0.10      0.00      2.17     77.57      0.00     20.15
08:18:00        all      0.07      0.00      2.30     76.89      0.00     20.74
08:18:01        all      0.10      0.00      2.36     77.21      0.00     20.32
08:18:02        all      0.09      0.00      2.13     77.96      0.00     19.82
08:18:03        all      0.08      0.00      2.42     77.31      0.00     20.19
08:18:04        all      0.43      0.00      2.49     77.31      0.00     19.78
08:18:05        all      0.23      0.00      2.19     71.29      0.00     26.29
08:18:06        all      0.87      0.00      2.44     74.63      0.00     22.05
08:18:07        all      0.33      0.00      2.67     74.73      0.00     22.27
08:18:08        all      0.10      0.00      2.68     76.77      0.00     20.45
08:18:09        all      0.06      0.00      2.81     76.49      0.00     20.64
08:18:10        all      0.07      0.00      2.24     77.58      0.00     20.10
08:18:11        all      0.12      0.00      2.07     78.23      0.00     19.59
08:18:12        all      0.09      0.00      2.39     77.54      0.00     19.98
08:18:13        all      0.10      0.00      2.65     77.97      0.00     19.27
08:18:14        all      0.09      0.00      2.65     79.54      0.00     17.71
08:18:15        all      0.07      0.00      2.85     77.78      0.00     19.30
08:18:16        all      0.07      0.00      2.68     77.42      0.00     19.83
08:18:17        all      0.14      0.00      3.01     77.50      0.00     19.34
08:18:18        all      0.48      0.00      2.96     73.67      0.00     22.90
08:18:19        all      0.20      0.00      2.26     75.43      0.00     22.12
08:18:20        all      0.51      0.00      2.33     73.47      0.00     23.69
08:18:21        all      0.14      0.00      2.04     71.92      0.00     25.90
08:18:22        all      0.06      0.00      1.96     73.59      0.00     24.38
08:18:23        all      0.08      0.00      2.33     73.45      0.00     24.14
